,0
S_15_last_minus_first,0.0036426408
S_5_last_minus_first,0.0036403015
D_142_last_minus_mean,0.003631795
B_23_last_minus_first,0.0036316086
D_53_std,0.0036119178
D_60_std,0.0036050214
D_91_std,0.0035825074
B_14_mean,0.0035815486
R_11_last_minus_first,0.0035738095
R_20_last_minus_mean,0.003565673
S_13_std,0.003563147
S_24_mean,0.0035392193
D_82_last_minus_first,0.003537064
D_133_std,0.0035344283
S_8_last_minus_mean,0.0035343925
B_24_last,0.0035209262
R_6_max,0.0035192817
S_5_min,0.0035170068
B_10_last_minus_first,0.003500666
D_52_max,0.003477869
D_61_last_minus_first,0.0034576997
D_104_last_minus_mean,0.003443914
B_6_last_minus_first,0.0034431457
B_26_last_minus_mean,0.003440221
B_13_max,0.0034379975
S_12_first,0.003430439
R_13_mean,0.0034103028
S_23_min,0.0033927644
R_24_last_minus_first,0.0033855431
D_117_std,0.0033682804
D_105_last,0.0033614277
D_58_max,0.0033430206
D_91_first,0.0033378426
B_15_std,0.0033303187
D_133_mean,0.0033301057
B_38_mean,0.003324025
R_6_first,0.0033199245
P_4_mean,0.0033141922
B_22_last_minus_mean,0.0033121514
D_115_last,0.0032979476
D_89_last_minus_mean,0.0032865393
S_25_last_minus_mean,0.003267115
D_74_last_minus_first,0.003263831
D_113_std,0.0032637727
D_129_std,0.0032619666
B_15_last,0.0032405006
D_80_mean,0.003235269
S_27_last_minus_mean,0.0032276427
D_79_last_minus_first,0.0032210995
S_24_min,0.0032210408
D_125_last_minus_mean,0.0032080684
S_19_std,0.0031997613
B_6_first,0.00319684
B_28_last_minus_mean,0.003192821
B_8_max,0.0031770347
D_122_last_minus_mean,0.0031755336
B_25_min,0.0031592583
D_124_last_minus_mean,0.0031576615
S_25_last,0.0031508124
R_27_last_minus_first,0.0031396314
B_23_first,0.0031144847
S_13_last,0.0031053498
S_19_last_minus_mean,0.0030784342
D_82_first,0.003075816
S_7_max,0.0030746365
D_115_last_minus_mean,0.0030693747
B_37_first,0.0030693028
S_7_min,0.0030636394
S_27_min,0.0030596338
B_14_max,0.0030529397
B_6_last,0.0030483394
S_18_last_minus_mean,0.003023182
B_2_last_minus_first,0.0030211185
D_127_std,0.0030088946
D_41_max,0.0030060285
D_52_first,0.002995613
D_75_last_minus_mean,0.0029893394
S_7_std,0.0029811224
D_58_last,0.0029774474
S_13_first,0.002976155
D_62_first,0.002975713
S_27_last,0.0029676605
B_18_std,0.0029531561
D_128_last_minus_mean,0.002950174
B_41_last_minus_mean,0.002933816
B_18_last_minus_mean,0.0028984111
B_19_last_minus_mean,0.002897549
D_56_std,0.0028898278
D_58_last_minus_first,0.0028805342
D_117_last,0.0028744945
D_124_std,0.002873496
D_43_last_minus_first,0.0028583372
B_26_max,0.0028513148
S_16_mean,0.0028432459
D_60_min,0.002832767
B_21_last_minus_mean,0.0028250874
D_109_std,0.0028226401
S_11_last_minus_first,0.0028141697
S_7_last_minus_first,0.0028101858
D_86_last_minus_mean,0.00281004
D_81_last_minus_mean,0.0027971866
S_16_last_minus_mean,0.0027903565
R_6_mean,0.0027807916
B_6_max,0.0027687007
B_16_std,0.0027645307
D_123_last_minus_mean,0.0027631808
D_96_mean,0.0027509192
D_119_last_minus_first,0.0027478263
R_3_last_minus_first,0.0027471501
R_12_last,0.0027297912
D_105_last_minus_mean,0.0026938415
S_11_first,0.0026844312
D_119_std,0.002675933
D_82_std,0.0026731857
D_61_last_minus_mean,0.0026714017
R_21_mean,0.0026713621
D_96_last_minus_mean,0.002669145
B_10_max,0.0026539247
B_28_last,0.002649755
D_91_last_minus_mean,0.002648583
B_2_max,0.0026387728
D_114_std,0.0026257494
R_14_mean,0.0026143698
B_14_std,0.0026060985
S_12_last,0.0025980836
B_28_max,0.0025855743
R_7_last_minus_first,0.0025772231
D_78_mean,0.0025765437
B_38_last,0.0025633865
S_17_last_minus_mean,0.0025483146
R_24_mean,0.0025478748
B_36_last_minus_mean,0.0025421977
B_32_mean,0.0025331862
B_20_max,0.0025266425
D_92_last_minus_mean,0.0025242483
D_145_last_minus_first,0.0025071604
D_52_std,0.0025041334
D_71_max,0.0025013564
S_27_last_minus_first,0.0024928756
D_104_mean,0.002479603
B_8_last_minus_mean,0.0024654204
S_9_last_minus_first,0.002462907
D_79_max,0.0024535686
R_7_mean,0.002445596
D_89_mean,0.002436533
D_113_last_minus_mean,0.0024357582
D_96_std,0.0024281186
B_3_min,0.0024246632
D_47_last_minus_mean,0.0024239717
D_130_last_minus_mean,0.0024155346
R_25_mean,0.0024068523
D_53_last_minus_first,0.0023932548
D_72_max,0.0023854992
D_69_last_minus_first,0.0023661936
R_20_mean,0.002345262
S_3_last_minus_first,0.0023448572
B_15_max,0.002334428
D_131_first,0.0023340487
B_25_mean,0.0023200011
B_30_mean,0.00231788
B_18_first,0.002312986
D_75_first,0.002306966
D_86_mean,0.002306684
D_143_last_minus_mean,0.00230011
S_18_mean,0.00228241
D_122_std,0.00227782
D_55_std,0.002275899
D_86_std,0.0022549066
B_5_max,0.0022540821
R_11_first,0.0022537734
D_58_last_minus_mean,0.0022518036
D_43_min,0.0022457256
D_70_last_minus_mean,0.0022418625
D_81_mean,0.0022411589
S_20_last_minus_mean,0.0022361854
S_26_last_minus_mean,0.002234042
D_115_min,0.0022310235
R_23_last_minus_mean,0.0022182395
B_14_first,0.0022170856
B_8_std,0.0022135181
D_53_min,0.0022038023
B_13_last_minus_first,0.002203072
D_68_mean,0.002196156
R_28_std,0.0021929627
B_24_last_minus_mean,0.0021889284
B_27_std,0.002187608
S_16_max,0.0021761763
S_26_last_minus_first,0.0021676107
D_54_last_minus_mean,0.0021569699
D_130_std,0.0021557205
D_77_last_minus_first,0.00215371
D_70_last_minus_first,0.002140014
D_122_first,0.0021387334
R_24_last_minus_mean,0.0021376414
D_126_mean,0.0021289224
B_13_last_minus_mean,0.0021225458
S_25_mean,0.0021131951
D_104_min,0.002111409
R_17_mean,0.0021075336
B_25_max,0.0021068912
D_93_last_minus_mean,0.0021060705
R_8_last_minus_first,0.0021058444
S_20_mean,0.0020982455
S_20_std,0.0020981461
D_92_first,0.0020831923
R_16_last,0.0020792023
D_109_last_minus_mean,0.0020786726
S_16_first,0.0020761443
B_6_mean,0.0020758933
D_131_std,0.0020742915
B_33_mean,0.0020732444
D_75_last,0.0020664816
S_15_std,0.0020638488
D_51_first,0.0020636332
D_84_last_minus_mean,0.0020447152
R_19_mean,0.0020442896
S_15_first,0.0020363443
B_14_last_minus_first,0.0020315496
R_16_first,0.0020279763
D_75_min,0.0020272864
D_94_mean,0.002017833
B_8_first,0.002015227
R_13_last_minus_mean,0.0020081555
D_94_last_minus_mean,0.0020035023
D_62_last_minus_first,0.0020022003
D_128_last,0.0019997633
B_16_last_minus_first,0.0019986166
R_10_last_minus_first,0.0019907083
B_18_last_minus_first,0.0019860042
D_96_last_minus_first,0.0019849439
B_32_std,0.0019839955
R_26_last_minus_first,0.0019770835
D_84_mean,0.0019422064
B_27_last_minus_mean,0.0019199777
D_83_std,0.0019102226
R_8_max,0.0019092136
D_127_last_minus_first,0.0019029863
D_84_last_minus_first,0.0019010454
D_75_last_minus_first,0.0018826863
B_26_last,0.001878109
S_6_last_minus_mean,0.0018757698
S_6_std,0.0018747717
D_131_max,0.0018687418
D_125_mean,0.0018562123
D_131_last_minus_mean,0.0018502136
B_38_max,0.0018490053
D_104_std,0.0018465305
B_40_last_minus_first,0.0018284365
B_36_last,0.0018138023
B_27_mean,0.0018092043
R_26_std,0.0018079319
D_70_min,0.0018078065
D_53_first,0.0017977558
S_24_first,0.0017941259
R_10_mean,0.0017877208
P_4_std,0.0017822626
B_25_std,0.0017759692
D_140_std,0.0017692343
B_40_min,0.0017658676
D_93_std,0.0017555264
B_33_std,0.0017495562
D_80_std,0.0017322995
D_60_first,0.0017277211
D_102_mean,0.0017021458
R_14_last_minus_mean,0.0017013031
D_144_max,0.0017011593
B_20_std,0.0016883551
D_104_first,0.0016788723
D_69_last_minus_mean,0.0016788542
D_47_last_minus_first,0.0016762401
B_24_last_minus_first,0.0016735431
B_20_last_minus_first,0.0016716052
D_46_last_minus_first,0.0016618763
B_19_min,0.0016592775
B_41_mean,0.0016572025
B_14_min,0.0016545906
R_13_last_minus_first,0.001653319
S_25_last_minus_first,0.0016508976
R_18_mean,0.0016394415
R_18_last_minus_mean,0.0016375137
D_93_mean,0.0016284141
R_28_last_minus_mean,0.0016221663
D_128_std,0.0016211926
D_113_first,0.0016114129
B_36_max,0.0016053459
D_78_last_minus_first,0.0015846632
D_51_std,0.0015712861
B_17_max,0.0015708674
D_144_mean,0.0015675896
R_14_max,0.0015619032
D_56_last_minus_first,0.0015601633
R_5_mean,0.001542904
S_24_last_minus_first,0.0015243599
D_105_last_minus_first,0.0015170024
D_65_last,0.001515007
B_12_last,0.0015120675
R_20_last,0.0015111822
S_18_std,0.001509323
D_120_std,0.001494168
B_12_last_minus_first,0.0014736651
R_12_last_minus_mean,0.0014637219
D_145_std,0.0014610431
D_71_std,0.0014596141
S_19_mean,0.0014573408
S_17_last_minus_first,0.0014326845
B_3_first,0.0014324514
D_107_std,0.0014256592
B_24_mean,0.0014247198
B_10_first,0.0014215196
D_42_last_minus_first,0.0014209128
D_107_last,0.0014101741
D_122_last_minus_first,0.001392301
B_2_first,0.0013907058
R_25_last_minus_mean,0.0013802564
D_69_last,0.0013800947
R_4_mean,0.0013781788
D_128_last_minus_first,0.00137741
R_22_last_minus_first,0.0013765298
D_140_last_minus_first,0.0013586553
B_25_first,0.0013570534
D_143_std,0.0013558207
B_32_last_minus_mean,0.0013532093
D_65_last_minus_first,0.001344821
R_12_last_minus_first,0.0013420037
D_92_std,0.0013408087
D_68_std,0.001339846
B_30_last_minus_mean,0.0013203913
D_68_last_minus_mean,0.0013164417
R_7_max,0.0013119312
B_9_min,0.0012996658
D_143_first,0.0012964648
D_76_last_minus_mean,0.0012962072
R_12_mean,0.0012918978
D_65_first,0.0012856493
D_80_max,0.001284522
D_81_last_minus_first,0.0012802541
D_144_last,0.0012701183
R_28_mean,0.0012674169
R_19_std,0.0012614614
B_15_last_minus_first,0.0012587188
B_15_first,0.0012514424
D_80_last,0.0012351944
S_17_mean,0.0012301616
S_17_max,0.0012189774
D_117_last_minus_mean,0.0011867097
D_102_min,0.0011619163
D_144_first,0.0011586813
S_17_first,0.0011576426
B_22_last_minus_first,0.0011546956
D_70_last,0.0011347211
D_54_max,0.0011301064
D_70_first,0.0011125756
D_58_first,0.0011012548
D_102_last,0.0010951243
B_13_last,0.0010948618
D_124_last_minus_first,0.0010889075
D_133_first,0.0010555896
D_39_first,0.0010542724
D_94_std,0.0010479997
D_113_last,0.0010351022
D_107_min,0.0010262621
B_20_first,0.0010225009
B_26_last_minus_first,0.0010198945
P_4_last_minus_first,0.0009981232
S_16_last_minus_first,0.0009968285
D_130_first,0.0009948988
R_10_max,0.0009867813
D_91_last_minus_first,0.0009685274
D_78_last,0.00096725824
B_21_last,0.00095837115
R_6_last_minus_first,0.0009444355
D_79_first,0.0009443408
D_113_last_minus_first,0.00093454524
B_32_last,0.00093434093
R_6_last,0.00092718506
D_83_last_minus_first,0.0009243234
D_71_last_minus_first,0.00092421786
R_2_last_minus_first,0.00092061626
B_32_last_minus_first,0.0009135232
D_83_last,0.000910793
D_44_first,0.0008996534
D_58_min,0.0008737367
B_24_max,0.0008722896
D_113_max,0.0008596755
D_68_max,0.00084905245
S_16_last,0.00083888415
D_72_last_minus_first,0.0008265766
D_54_first,0.0008250877
D_71_min,0.000804945
B_19_first,0.00080193015
D_92_last_minus_first,0.00080189726
R_18_std,0.0008018395
B_25_last_minus_first,0.0007984093
D_142_last_minus_first,0.00077471905
B_15_min,0.0007652872
D_86_last_minus_first,0.00076497265
D_68_first,0.000752926
D_104_max,0.00074077066
D_130_last,0.0007366025
B_38_last_minus_first,0.0007325718
B_36_last_minus_first,0.0007289376
D_78_max,0.00072311016
B_26_first,0.00072123145
R_14_last,0.0007147897
D_109_last_minus_first,0.0007038639
R_20_last_minus_first,0.0006727111
B_21_last_minus_first,0.00066908466
B_41_last_minus_first,0.00066303497
D_104_last_minus_first,0.00065971154
B_30_std,0.00065804523
D_80_first,0.00064932555
D_81_first,0.0006469535
D_80_min,0.0006450527
B_18_max,0.00064481806
D_107_first,0.0006412445
D_107_max,0.0006346067
S_18_last_minus_first,0.0006313066
D_116_last_minus_mean,0.0006133051
B_8_last_minus_first,0.0005952281
R_16_last_minus_first,0.0005907196
B_22_min,0.0005888078
R_11_max,0.00058113696
D_44_min,0.0005780226
R_14_first,0.0005666723
B_24_first,0.00056421733
D_41_first,0.0005627434
R_16_max,0.00056172395
D_125_last,0.0005587027
D_107_last_minus_first,0.00054978684
S_6_last,0.0005429009
D_131_last_minus_first,0.00053353206
B_36_first,0.0005185174
D_76_last_minus_first,0.00051366905
B_21_first,0.0005113376
D_76_std,0.0004974735
D_114_last_minus_mean,0.0004930809
D_51_last_minus_first,0.00047987283
D_64_count,0.0004716568
D_68_last,0.00045629605
S_19_first,0.00044792859
D_78_first,0.00044588232
D_68_last_minus_first,0.00044141317
R_12_min,0.00043770994
D_39_min,0.000427806
D_121_last_minus_first,0.00041941844
S_6_last_minus_first,0.00041563538
S_20_last_minus_first,0.00040489496
D_113_min,0.00039683122
R_20_first,0.0003895828
R_8_first,0.00038614703
D_41_min,0.00038155454
R_15_last_minus_first,0.00037467128
R_2_first,0.0003729183
D_125_last_minus_first,0.00036294796
D_125_first,0.00036196472
R_4_last_minus_first,0.000360123
S_17_last,0.00035786303
D_117_last_minus_first,0.00035538708
D_54_last_minus_first,0.00034930604
D_143_last,0.00034882108
R_17_last_minus_first,0.00034436406
R_14_last_minus_first,0.00034267717
D_112_first,0.0003365532
R_21_last_minus_first,0.00032486135
D_83_first,0.00031747302
D_133_min,0.00031073307
B_22_first,0.0002977113
D_123_max,0.00029622606
D_69_min,0.00027577547
R_12_first,0.00026847402
D_129_first,0.00025761576
B_33_last_minus_first,0.00024226656
D_93_last_minus_first,0.00022024446
D_104_last,0.00021639146
D_143_last_minus_first,0.00018783112
S_19_last,0.00014453864
R_18_first,0.0001294697
