,gain
S_6_first,2
B_21_min,2
R_4_min,2
B_30_last,2
R_6_min,2
R_19_last,2
D_83_min,2
S_18_min,2
D_109_last,2
B_26_min,2
D_86_max,2
R_23_last,2
D_114_last_minus_first,2
R_5_min,2
D_64_nunique,2
D_140_max,2
S_20_min,2
D_91_max,2
R_25_last,2
R_28_last,2
D_89_last_minus_first,2
B_33_min,2
D_81_last,2
B_31_last_minus_first,2
R_20_max,2
B_36_min,2
R_22_first,2
R_11_min,2
D_131_min,2
R_28_max,2
R_28_first,1
R_10_min,1
D_92_max,1
D_96_max,1
R_15_first,1
R_2_min,1
B_30_first,1
R_12_max,1
D_130_last_minus_first,1
D_86_min,1
S_18_max,1
R_16_min,1
R_28_min,1
B_41_max,1
D_126_last_minus_first,1
D_89_min,1
R_22_max,1
B_31_first,1
D_78_min,1
R_20_min,1
D_123_min,1
R_25_min,1
R_24_first,1
D_116_mean,1
D_93_max,1
R_24_min,1
S_6_max,1
S_19_max,1
R_21_last,1
R_21_max,1
B_27_max,1
B_27_min,1
B_31_min,1
S_16_min,1
D_96_min,1
B_33_max,0
R_25_max,0
R_7_min,0
D_92_min,0
R_14_min,0
D_116_first,0
D_116_max,0
R_15_min,0
R_8_min,0
D_89_max,0
D_93_min,0
R_15_max,0
R_1_min,0
D_84_min,0
R_4_max,0
S_20_first,0
R_18_min,0
R_24_max,0
S_20_max,0
D_116_last,0
R_18_max,0
R_22_min,0
R_17_min,0
D_126_last,0
R_23_min,0
R_23_max,0
B_31_max,0
D_116_last_minus_first,0
S_19_min,0
B_41_min,0
D_94_max,0
S_18_last,0
R_19_min,0
R_19_max,0
R_13_min,0
B_30_min,0
D_94_min,0
D_127_min,0
B_32_max,0
D_116_min,0
D_81_min,0
